x,elevation
0,74.848999
50,75.038785
100,75.228571
150,75.418357
200,75.608144
250,75.79793
300,75.987716
350,76.177502
400,76.367288
450,76.557074
500,76.74686
550,76.936646
600,77.126433
650,77.539905
700,78.194531
750,78.849157
800,79.503783
850,80.15841
900,80.813036
950,81.467662
1000,82.122289
1050,82.776915
1100,83.431541
1150,84.086168
1200,84.740794
1250,85.39542
1300,85.68619
1350,85.962753
1400,86.239315
1450,86.515878
1500,86.79244
1550,87.069002
1600,87.345565
1650,87.622127
1700,87.89869
1750,88.175252
1800,88.451815
1850,88.728377
1900,89.061321
1950,89.464974
2000,89.868628
2050,90.272281
2100,90.675935
2150,91.079588
2200,91.483242
2250,91.886895
2300,92.290549
2350,92.694202
2400,93.097856
2450,93.501509
2500,93.905163
2550,94.27321
2600,94.638364
2650,95.003517
2700,95.368671
2750,95.733825
2800,96.098978
2850,96.464132
2900,96.829285
2950,97.194439
3000,97.559593
3050,97.924746
3100,98.2899
3150,98.681604
3200,99.112144
3250,99.542685
3300,99.973226
3350,100.403766
3400,100.834307
3450,101.264847
3500,101.695388
3550,102.125928
3600,102.556469
3650,102.98701
3700,103.41755
3750,103.848091
3800,105.372734
3850,107.036398
3900,108.700063
3950,110.363727
4000,112.027391
4050,113.691056
4100,115.35472
4150,117.018385
4200,118.682049
4250,120.345713
4300,122.009378
4350,123.673042
4400,125.786813
4450,128.672029
4500,131.557246
4550,134.442462
4600,137.327678
4650,140.212894
4700,143.09811
4750,145.983327
4800,148.868543
4850,151.753759
4900,154.638975
4950,157.524191
5000,160.409408
5050,161.287797
5100,161.811156
5150,162.334515
5200,162.857874
5250,163.381233
5300,163.904591
5350,164.42795
5400,164.951309
5450,165.474668
5500,165.998027
5550,166.521385
5600,167.044744
5650,168.023913
5700,169.924791
5750,171.825669
5800,173.726547
5850,175.627425
5900,177.528303
5950,179.42918
6000,181.330058
6050,183.230936
6100,185.131814
6150,187.032692
6200,188.93357
6250,190.834448
6300,194.041768
6350,197.551363
6400,201.060958
6450,204.570553
6500,208.080149
6550,211.589744
6600,215.099339
6650,218.608934
6700,222.118529
6750,225.628124
6800,229.137719
6850,232.647314
6900,234.374197
6950,231.805924
7000,229.237651
7050,226.669377
7100,224.101104
7150,221.532831
7200,218.964558
7250,216.396285
7300,213.828012
7350,211.259738
7400,208.691465
7450,206.123192
7500,203.554919
7550,204.640034
7600,206.788718
7650,208.937402
7700,211.086086
7750,213.23477
7800,215.383455
7850,217.532139
7900,219.680823
7950,221.829507
8000,223.978191
8050,226.126876
8100,228.27556
8150,230.047875
8200,230.72483
8250,231.401785
8300,232.07874
8350,232.755694
8400,233.432649
8450,234.109604
8500,234.786559
8550,235.463514
8600,236.140469
8650,236.817423
8700,237.494378
8750,238.171333
8800,238.691956
8850,239.156775
8900,239.621594
8950,240.086412
9000,240.551231
9050,241.01605
9100,241.480869
9150,241.945688
9200,242.410507
9250,242.875326
9300,243.340145
9350,243.804963
9400,244.084218
9450,243.698423
9500,243.312627
9550,242.926831
9600,242.541035
9650,242.155239
9700,241.769443
9750,241.383648
9800,240.997852
9850,240.612056
9900,240.22626
9950,239.840464
10000,239.454669
10050,239.754707
10100,240.349567
10150,240.944428
10200,241.539288
10250,242.134148
10300,242.729008
10350,243.323869
10400,243.918729
10450,244.513589
10500,245.108449
10550,245.703309
10600,246.29817
10650,246.920333
10700,247.666399
10750,248.412466
10800,249.158532
10850,249.904598
10900,250.650664
10950,251.39673
11000,252.142796
11050,252.888862
11100,253.634928
11150,254.380994
11200,255.12706
11250,255.873126
11300,255.775626
11350,255.247007
