x,pressure
0.0,493338.6201365543
50.0,489883.2641233064
100.0,486427.90811005846
150.0,482972.55209681054
200.0,479517.1862456613
250.0,476061.83023241337
300.0,472509.8792533039
350.0,469054.523240056
400.0,465599.1672268081
450.0,462143.81121356017
500.0,458688.45520031225
550.0,455233.09918706433
600.0,451681.1383700535
650.0,446025.18154368177
700.0,437996.77544248704
750.0,429968.3693412921
800.0,421939.9632400974
850.0,413814.9523351397
900.0,405786.54623394494
950.0,397758.14013275004
1000.0,389729.7241936539
1050.0,381701.318092459
1100.0,787790.6808447038
1150.0,779762.2649056076
1200.0,771733.8588044128
1250.0,763705.4527032179
1300.0,759256.6260547381
1350.0,754947.5664714837
1400.0,750541.9217602693
1450.0,746232.862177015
1500.0,741923.8124316622
1550.0,737614.7626863094
1600.0,733305.7031030551
1650.0,728996.6533577021
1700.0,724590.9988085864
1750.0,720281.9490632336
1800.0,715972.8894799793
1850.0,711663.8397346265
1900.0,706800.1094323966
1950.0,701144.1559940348
2000.0,695584.7876836329
2050.0,690025.4292111325
2100.0,684466.0609007308
2150.0,678906.7024282303
2200.0,673347.3341178284
2250.0,667691.3806794666
2300.0,662132.0123690647
2350.0,656572.6538965643
2400.0,651013.2855861626
2450.0,645453.9271136621
2500.0,639797.9638373988
2550.0,634588.8936822364
2600.0,629408.2845758317
2650.0,624227.6853073282
2700.0,619047.0762009233
2750.0,613866.4670945186
2800.0,608589.2728601537
2850.0,603408.6637537488
2900.0,598228.0644852454
2950.0,593047.4553788404
3000.0,587866.8462724355
3050.0,582686.2470039321
3100.0,577505.6378975272
3150.0,572063.8325088855
3200.0,566239.9623813755
3250.0,560416.0824159641
3300.0,554592.2024505528
3350.0,548671.7373571814
3400.0,542847.8573917701
3450.0,537023.9872642601
3500.0,531200.1072988488
3550.0,525279.6422054773
3600.0,519455.76224006596
3650.0,513631.8822746547
3700.0,507808.01214714465
3750.0,501984.1321817334
3800.0,485396.5846160233
3850.0,467344.767193572
3900.0,449389.5348990809
3950.0,431434.31244249124
4000.0,413479.08998590155
4050.0,395523.85769141035
4100.0,377472.04026895924
4150.0,777863.8546514076
4200.0,759908.6321948178
4250.0,741953.4097382281
4300.0,723998.177443737
4350.0,706042.9549871474
4400.0,683563.0292781126
4450.0,653590.2986874729
4500.0,623617.5582589322
4550.0,593644.8276682926
4600.0,563672.0970776532
4650.0,533699.3664870135
4700.0,503630.0409305127
4750.0,473657.3005019717
4800.0,443684.56991133234
4850.0,413711.8393206927
4900.0,383739.1087300533
4950.0,765749.7613893976
5000.0,735777.0209608565
5050.0,725547.2565281298
5100.0,718810.2422303394
5150.0,712073.2279325491
5200.0,705336.2136347587
5250.0,698502.604371107
5300.0,691765.5999112179
5350.0,685028.5856134276
5400.0,678291.5713156372
5450.0,671554.5570178468
5500.0,664817.5427200565
5550.0,657983.943294306
5600.0,651246.9289965157
5650.0,640025.7008604433
5700.0,619736.7904605564
5750.0,599447.8800606695
5800.0,579062.3746949212
5850.0,558773.4642950345
5900.0,538484.5538951476
5950.0,518195.65333316213
6000.0,497906.74293327524
6050.0,477617.83253338834
6100.0,457232.3271676403
6150.0,436943.4167677534
6200.0,416654.50636786653
6250.0,396365.59596797964
6300.0,762677.5289619023
6350.0,726562.2193314591
6400.0,690350.314735155
6450.0,654235.0051047122
6500.0,618119.6856363678
6550.0,582004.376005925
6600.0,545889.0663754822
6650.0,509773.7567450392
6700.0,473658.4471145964
6750.0,437543.1374841533
6800.0,401427.8278537105
6850.0,759703.7773154558
6900.0,741126.6125701001
6950.0,764564.8572578178
7000.0,788099.6969113968
7050.0,811634.5463470744
7100.0,835169.3860006535
7150.0,858704.2256542325
7200.0,882239.0653078114
7250.0,905677.309995529
7300.0,929212.1496491081
7350.0,952746.9990847857
7400.0,976281.8387383647
7450.0,999816.6783919438
7500.0,1023351.5180455226
7550.0,1010991.4086415974
7600.0,988264.6072467582
7650.0,965537.8058519188
7700.0,942811.0044570793
7750.0,920084.2030622399
7800.0,897357.391829499
7850.0,874630.5904346596
7900.0,851903.7890398202
7950.0,829176.9876449808
8000.0,806450.1862501414
8050.0,783626.7800515391
8100.0,760899.9786566996
8150.0,741875.858374825
8200.0,733627.7817732134
8250.0,725379.7051716018
8300.0,717131.6285699899
8350.0,708786.9668404183
8400.0,700538.8902388067
8450.0,692290.8136371952
8500.0,684042.7370355832
8550.0,675794.6604339717
8600.0,667546.5838323601
8650.0,659201.9221027885
8700.0,650953.8455011765
8750.0,642705.768899565
8800.0,635995.6711000119
8850.0,629834.567550325
8900.0,623673.4640006382
8950.0,617415.7753229912
9000.0,611254.6717733042
9050.0,605093.5682236173
9100.0,598932.4646739303
9150.0,592771.3611242436
9200.0,586610.2575745566
9250.0,580352.5590590083
9300.0,574191.4555093213
9350.0,568030.361797536
9400.0,563694.818583706
9450.0,565880.4432544518
9500.0,568066.0777072962
9550.0,570155.1171942791
9600.0,572340.7516471235
9650.0,574526.3860999679
9700.0,576712.0205528123
9750.0,578897.6452235581
9800.0,581083.2796764025
9850.0,583172.3191633853
9900.0,585357.9536162297
9950.0,587543.5880690741
